template.example-text,Example Text,text
template.example-text@property-float,"2, 5",text
template.example-text@property-int,2.0,text
template.example-text@property-bool,true,text
template.example-image,path/to/image-file,image
template.example-audio,path/to/audio-file,audio
ui.label.loading,加载中,text
ui.label.loading@upper,加载中,text
ui.label.coming-soon,即将来临,text
ui.label.coming-soon@upper,即将来临,text
ui.label.get-ready-coming-soon,"准备好, 即将来临",text
ui.label.click-to-unlock,点击解锁,text
ui.label.click-to-unlock@upper,点击解锁,text
ui.label.elapsed,运行时间,text
ui.label.time,时间,text
ui.label.position,排名位置,text
ui.label.back,后退,text
ui.label.next,下一步,text
ui.label.exit,退出,text
ui.label.leaders,领先者,text
ui.common.back,返回,text
ui.common.next,下一步,text
ui.common.watch,观看,text
ui.common.connecting,连线中...,text
ui.common.no-hardware,未连接控制器,text
ui.common.loading-w-dots,加载中...,text
ui.common.please-select,请选择,text
ui.common.yes,是,text
ui.common.no,否,text
ui.common.ok,确认,text
ui.common.dismiss,撤销,text
ui.common.start,开始,text
ui.common.operation-failure,操作失败,text
ui.offline.status,不可用(离线模式),text
ui.connection.online,联机模式,text
ui.connection.offline,离线模式,text
ui.dialog.controller-disconnected.title,控制器无法连接,text
ui.dialog.controller-disconnected.desc,警告，未检测到有控制器连接到您的系统。请重新连接您的控制器。,text
ui.dialog.connection.network-disconnected.title,网络连接失败,text
ui.dialog.connection.network-disconnected.desc,警告，请检查您的网络连接。,text
ui.dialog.offline.network-disconnected.title,网络连接失败,text
ui.dialog.offline.network-disconnected.desc,此功能在离线模式下不可用。,text
ui.dialog.signed-in.title,登录,text
ui.dialog.signed-in.desc,新用户登录，游戏将重新开始。,text
ui.dialog.signed-out.title,退出,text
ui.dialog.signed-out.desc,用户已退出，游戏将重新开始。,text
ui.dialog.go-online.title,切换至联机模式,text
ui.dialog.go-online.desc,您想要在联机模式下启动游戏吗？,text
ui.dialog.go-offline.title,切换至离线模式,text
ui.dialog.go-offline.desc,"当前网络连接可用，您依然决定进入离线模式。当您准备好重新回到联机模式时，请点击界面下方的离线模式按钮。
 
 <b>请注意，离线模式下的比赛成绩将不会被上传至联机模式排行榜。</b>",text
ui.dialog.server-disconnected.title,服务器连接失败,text
ui.dialog.server-disconnected.desc,服务器连接失败，请稍后重新尝试。,text
ui.dialog.load-offline.desc,进入离线模式...,text
ui.dialog.load-online.desc,进入联机模式...,text
ui.dialog.connection-lost.title,网络连接中断,text
ui.dialog.connection-lost.desc,网络连接中断。在离线模式下开始游戏。,text
ui.footer.level,等级,text
ui.footer.xp,经验,text
ui.footer.streak,连击,text
ui.footer.race,比赛,text
ui.common.invite,邀请,text
splash.connecting,连线中…,text
splash.connection-failed,"连接失败, 请稍后重试",text
splash.missing-dll,缺少配置文件 / VC REDIST 2015,text
splash.connecting-server,服务器连接中...,text
splash.initializing,正在初始化,text
splash.connection-fail,连接失败,text
splash.platform-steam-fail,连接Steam平台失败,text
splash.platform-xbox-fail,连接Xbox平台失败,text
splash.connection-timeout,连接超时,text
splash.connection-retry,重新尝试连接,text
splash.license-check,检查许可证,text
splash.state-load,加载状态,text
splash.button.connection-check.label,检查链接,text
splash.button.quit.label,退出,text
splash.state-download-maps,正在下载供离线模式使用的地图…,text
splash.loading,加载中…,text
splash.state-store-maps,地图保存中…,text
splash.start-offline,启动离线模式,text
splash.state-load,正在加载游戏状态…,text
splash.license-check,正在检查许可证…,text
splash.state-download-maps-fail,無法下載地圖！,text
social.label.connecting,连线中…,text
social.label.disconnected,连接失败,text
social.label.not-in-a-room,未加入房间,text
social.label.no-threads-found,找不到主题,text
social.footer.tabs.chat,聊天室,text
social.footer.tabs.friends,好友,text
social.friends.item.sub.private-message,私信,text
social.friends.item.sub.remove-friend,移除好友,text
social.friends.search.placeholder,搜索...,text
social.friends.search.sortby,排列方式,text
social.friends.search.sort-type,"在线, 名字",text
social.chat.tabs.global,全球,text
social.chat.tabs.private,私人,text
social.chat.tabs.game,游戏,text
social.chat.channels,按ALT键切换频道,text
social.chat.message.sub.private-message,私信,text
social.chat.message.sub.add-friend,添加好友,text
social.social-main,聊天,text
social.chat.message.time-ago.justnow,在线,text
social.chat.message.time-ago.months-ago,月前,text
social.chat.message.time-ago.days-ago,天前,text
social.chat.message.time-ago.hours-ago,小时前,text
social.chat.message.time-ago.mins-ago,分钟前,text
social.chat.message.time-ago.one-min-ago,1分钟前,text
social.chat.message.time-ago.moment-ago,刚刚,text
social.chat.tabs.tournament,vDRL,text
social.chat.channel.global,[全球],text
social.chat.channel.vdrl,[赛事],text
social.chat.channel.game,[游戏],text
social.friends.online,在线,text
social.friends.offline,离线,text
social.friends.join-my-race,加入我的比赛,text
social.friends.snooze,忽略,text
social.friends.accept,接受,text
social.friends.decline,拒绝,text
social.friends.no-notifications,无可用通知,text
social.chat.need-help,需要帮助？,text
social.chat.pilot,飞手您好！,text
social.chat.channel.private,[私聊 @,text
social.chat.type-here,在这里输入...,text
notifications.label.connecting,连接中...,text
notifications.ui.join.race,加入我的比赛,text
notifications.ui.join.freestyle,加入我的花式飞行,text
home.disclaimer,"基于物理学的竞速3号:总重1018克, 每台电机提供1650克的拉力。敬请期待机库模式。",text
home.card@font-size,60.0,text
home.card.train,训练,text
home.card.train.desc,学习飞行,text
home.card.fly,飞行,text
home.card.tryouts,选拔赛,text
home.card.tryouts.desc,成为DRL职业飞手,text
home.card.purchase,购买,text
home.card.purchase.desc,体验完整的游戏,text
home.card.garage,工作台,text
home.card.garage.desc,组装自己的无人机,text
home.card.shop,商店,text
home.card.leaders,排行榜,text
home.card.settings,设置,text
home.card.quit,退出,text
home.card.freestyle,花式飞行,text
home.card.freestyle.desc,体验自由飞行的乐趣,text
home.card.make-maps,地图编辑器,text
home.card.make-maps.desc,随心所欲,text
home.card.multiplayer,多人连线,text
home.card.multiplayer.desc,与全世界的玩家对战,text
home.card.profile,玩家资料,text
home.card.race,单人竞赛,text
home.card.race.desc,冲刺到底,text
home.card.physics,物理学,text
home.card.physics.desc,基于真实物理的无人机,text
home.card.physics.beta,BETA,text
home.screen.title,主页,text
home.warning.below-specs,未达到硬件最低需求,text
home.card.leaders.drl,DRL排行榜,text
home.card.leaders.open,"公开组
排行榜",text
home.card.community.drones,无人机社区,text
home.card.community.drones.field-desc,各种配置，应有尽有,text
home.card.community.maps,地图社区,text
home.card.community.maps.field-desc,各类地图，奇思妙想,text
home.click-drag,点击 & 拖动,text
home.card.vdrl,赛事,text
home.card.vdrl.desc,新的挑战！,text
home.card.store,商店,text
home.card.store.desc,无人机零件与皮肤,text
home.card.usaf-card,美国空军,text
home.card.usaf-card.desc,竞速赛道,text
home.usaf-night-mode,夜间模式,text
home.quest,"",text
fly.screen.title,飞行,text
fly.screen.race,竞赛,text
fly.screen.freefly,自由飞翔 ,text
fly.screen.lobby,大厅,text
fly.screen.freecamera,自由摄像机,text
fly.card@font-size,60.0,text
fly.card.fly-campaign-card,战役,text
fly.card.fly-freecamera-card,自由摄像机,text
fly.card.fly-sandbox-card,物理沙盒 1.0,text
fly.multiplayer.lan,局域网,text
fly.choose-map,选择地图,text
fly.card.fly-freestyle-card,花式飞行,text
fly.card.fly-race-card,竞赛,text
race-hud.label.position,排名,text
race-hud.label.time,时间,text
race-hud.label.laps,圈数,text
race-hud.warnings.low-fps,"帧数过低, 请降低画面质量.",text
race-hud.warnings.low-signal,"无线电信号过弱, 请返回.",text
race-hud.title.get,预备!,text
race-hud.title.ready,"",text
race-hud.training.timer-countdown,倒数,text
race-hud.training.timer-elapsed,用时,text
race-hud.training.next-button,下一个,text
race-hud.warnings.training.skip,长按任意键可以跳过,text
race-hud.training.gauge.perfect,完美,text
race-hud.training.gauge.distance,距离,text
race-hud.training.gauge.toofar,距离过远,text
race-hud.label.gates,障碍门,text
race-hud.label.round-ends,距结束还有,text
vdrl.screen.title,锦标赛,text
vdrl.button.enter,进入,text
vdrl.button.standings,积分榜,text
vdrl.button.remind-me,提醒我,text
vdrl.button.register,注册,text
vdrl.button.unregister,注销,text
vdrl.button.nextmatch,下一场比赛,text
vdrl.button.lobby,大厅,text
vdrl.feedback.processing,正在处理…,text
vdrl.feedback.no.tournaments,未找到锦标赛,text
vdrl.feedback.operation.failure,操作失败,text
vdrl.label.group,组,text
vdrl.label.semi.finals,半决赛,text
vdrl.label.finals,决赛,text
vdrl.label.complete,完成,text
vdrl.label.waiting,请等待…,text
vdrl.label.next.map,下一地图,text
vdrl.feedback.registering,注册中…,text
vdrl.feedback.unregistering,注销中…,text
vdrl.label.starts,开始日期:,text
vdrl.label.starts-in,距开始还有:,text
vdrl.label.started,正在进行,text
vdrl.label.day,天,text
vdrl.label.days,天,text
vdrl.label.hour,小时,text
vdrl.label.hours,小时,text
vdrl.label.winners-prize,获胜者奖金:,text
vdrl.label.winner,获胜者,text
vdrl.skill.title,技能,text
vdrl.tournaments-list.bc-title,没有可加入的赛事,text
vdrl.tournaments-list.bc-desc,订阅以收到 关于未来赛事的最新消息,text
vdrl.tournaments-list.newsletter.title,最新消息,text
vdrl.tournaments-list.newsletter.desc,了解未来赛事的 最新消息,text
vdrl.tournaments-list.past.title,过往成绩,text
vdrl.tournaments-list.past.desc,以往赛事的 积分榜,text
vdrl.tournament-overview.description,赛事简介,text
vdrl.tournament-overview.prizes,奖金,text
vdrl.label.age-restriction,我已经超过规定的年龄,text
vdrl.label.inches,螺旋桨尺寸,text
vdrl.label.all-drones,全部无人机,text
vdrl.label.from,从,text
vdrl.label.to,到,text
vdrl.label.minute,分钟,text
vdrl.label.minutes,分钟,text
vdrl.button.subscribe-me,订阅,text
vdrl.button.unsubscribe-me,取消订阅,text
vdrl.label.winners,获胜者,text
vdrl.button.exit,下一步,text
vdrl.list.title,赛事,text
vdrl.leaderboard.title,赛事积分榜,text
vdrl.label.solo-race,开始,text
vdrl.label.mp-race,加入,text
vdrl.label.mp-spectate,观看,text
vdrl.label.heat,局,text
vdrl.label.active,可用的,text
vdrl.label.waiting-players,等待玩家加入,text
vdrl.brackets.selected-drone,已选无人机,text
vdrl.label.waiting,等待中,text
vdrl.label.failed,失败,text
vdrl.match-item.results,成绩,text
vdrl.label.in-game,游戏中,text
vdrl.label.total,总计,text
vdrl.label.ends-in,距结束还有,text
vdrl.label.event-canceled,创建者取消了比赛,text
